"pid","mid"
"1254216","9056"
"1277930","9056"
"56861","9060"
"18897","9404"
"44922","9404"
"70690","9404"
"120419","9404"
"20999","9449"
"1619","9455"
"1336","9460"
"57831","9460"
"66717","9460"
"130561","9460"
"226620","9460"
"551869","9460"
"1619923","9460"
"695","9461"
"18897","9461"
"57609","9461"
"62410","9461"
"119454","9461"
"1173757","9461"
"25251","9470"
"57607","9470"
"57609","9470"
"65975","9470"
"78878","9470"
"83635","9470"
"118745","9470"
"119426","9470"
"545277","9470"
"576408","9470"
"1136808","9470"
"1173200","9470"
"1173216","9470"
"1173223","9470"
"1173224","9470"
"1287732","9470"
"1676386","9470"
"65975","9471"
"18897","9502"
"1339","9550"
"25246","9550"
"20519","9581"
"25246","9581"
"25251","9581"
"52575","9581"
"70591","9594"
"12470","9696"
"1336","10027"
"20999","10034"
"18897","10044"
"26724","10044"
"57609","10044"
"62410","10044"
"62417","10044"
"62419","10044"
"62420","10044"
"62423","10044"
"62424","10044"
"1265950","10044"
"20652","10109"
"63584","10109"
"18897","10204"
"57831","10204"
"62410","10204"
"64662","10222"
"1341","10257"
"18897","10257"
"56861","10257"
"1337","10265"
"21911","10265"
"64496","10265"
"1336","10275"
"18897","10348"
"35452","10348"
"64895","10348"
"70690","10348"
"96546","10348"
"110847","10348"
"119454","10348"
"148884","10348"
"643","10387"
"20640","10387"
"643","10404"
"1336","10431"
"26739","10451"
"65353","10451"
"18897","10610"
"54615","10610"
"56804","10610"
"66122","10610"
"66717","10610"
"1336","10616"
"20519","10616"
"26724","10616"
"65938","10616"
"65944","10616"
"1336","10617"
"25245","10617"
"65974","10617"
"65975","10617"
"65976","10617"
"65987","10617"
"134704","10617"
"239091","10617"
"588144","10617"
"1338555","10617"
"1336","10618"
"1341","10618"
"18897","10618"
"65986","10618"
"65987","10618"
"65990","10618"
"65992","10618"
"239091","10618"
"1134729","10618"
"1336","10619"
"65974","10619"
"65987","10619"
"65992","10619"
"1336","10620"
"62417","10620"
"65987","10620"
"1357125","10620"
"18897","10622"
"62410","10622"
"931174","10622"
"1336","10623"
"18897","10674"
"78879","10674"
"1341","10703"
"26775","10703"
"66761","10703"
"73774","10703"
"1338","10753"
"18897","10753"
"44922","10753"
"96546","10753"
"110844","10753"
"119454","10753"
"134704","10753"
"955784","10753"
"18897","10771"
"1337","10775"
"25246","10775"
"26724","10775"
"66717","10775"
"86318","10775"
"1000109","10775"
"1336","10796"
"1619","10835"
"10885","10835"
"26784","10835"
"62412","10835"
"67046","10835"
"119447","10835"
"553881","10835"
"556938","10835"
"571521","10835"
"1135394","10835"
"1356792","10835"
"1336","10852"
"52908","10852"
"62410","10852"
"62417","10852"
"63584","10852"
"67221","10852"
"67222","10852"
"67224","10852"
"227782","10852"
"1136808","10852"
"1417207","10852"
"1624","10855"
"64662","10855"
"1337","10951"
"18897","10951"
"21911","10951"
"57607","10951"
"64496","10951"
"70690","10951"
"88495","10951"
"103598","10951"
"105421","10951"
"120419","10951"
"134686","10951"
"931174","10951"
"974461","10951"
"987139","10951"
"1123830","10951"
"1639507","10951"
"18897","10974"
"65987","10974"
"67689","10974"
"18897","10975"
"70690","10975"
"119454","10975"
"227778","10975"
"56861","10995"
"643","10997"
"69637","10997"
"76913","10997"
"116052","11018"
"1337","11104"
"56830","11104"
"1591060","11104"
"1338","11134"
"10885","11134"
"18897","11134"
"44922","11134"
"57609","11134"
"70591","11134"
"70673","11134"
"119454","11134"
"1069676","11134"
"1346930","11134"
"1336","11143"
"65974","11143"
"65975","11143"
"579216","11143"
"18897","11198"
"66761","11198"
"67222","11198"
"68557","11198"
"68561","11198"
"68562","11198"
"68563","11198"
"70690","11198"
"1183229","11198"
"1346930","11198"
"18897","11205"
"62410","11205"
"62417","11205"
"62419","11205"
"116906","11205"
"134704","11205"
"56816","11220"
"57831","11220"
"66761","11220"
"999460","11220"
"18897","11230"
"18899","11230"
"65976","11230"
"990778","11230"
"18897","11286"
"105940","11286"
"69033","11332"
"1619","11471"
"10885","11471"
"11401","11471"
"25249","11471"
"26760","11471"
"57607","11471"
"69636","11471"
"69637","11471"
"69638","11471"
"119447","11471"
"121394","11471"
"124002","11471"
"1138763","11471"
"1193722","11471"
"1277930","11471"
"1357048","11471"
"71051","11492"
"18897","11537"
"118745","11537"
"1173757","11537"
"21911","11553"
"21911","11554"
"18897","11563"
"118745","11563"
"121394","11563"
"240169","11563"
"1109778","11563"
"18897","11636"
"70690","11636"
"116906","11636"
"120725","11636"
"12466","11647"
"12672","11647"
"26724","11647"
"63584","11647"
"66717","11647"
"70703","11647"
"96862","11647"
"130561","11647"
"1000109","11647"
"1002925","11647"
"18897","11653"
"56861","11653"
"70690","11653"
"120725","11653"
"131728","11653"
"695","11690"
"70591","11690"
"1619","11702"
"10885","11702"
"18897","11713"
"121394","11713"
"1173757","11713"
"20652","11770"
"25246","11770"
"57607","11770"
"57831","11770"
"70437","11770"
"77304","11770"
"237235","11770"
"544796","11770"
"545277","11770"
"956575","11770"
"1136808","11770"
"1173223","11770"
"1265974","11770"
"1337","11782"
"1619","11782"
"11401","11782"
"66717","11782"
"70590","11782"
"70591","11782"
"140481","11782"
"552084","11782"
"1135238","11782"
"1178934","11782"
"1619","11817"
"70673","11841"
"70674","11841"
"240171","11841"
"1109778","11841"
"1134505","11841"
"18897","11847"
"26724","11847"
"29692","11847"
"65934","11847"
"66122","11847"
"118350","11847"
"26775","11891"
"1337","11909"
"11401","11909"
"20519","11909"
"25245","11909"
"25249","11909"
"579216","11909"
"55674","11937"
"18897","11950"
"21908","11960"
"52575","11960"
"18897","12207"
"25246","12207"
"26775","12207"
"44917","12207"
"44922","12207"
"56804","12207"
"69636","12207"
"70690","12207"
"148884","12207"
"227804","12207"
"1341","12211"
"73774","12246"
"1339","12276"
"73774","12276"
"74021","12276"
"1337","12289"
"77304","12289"
"96862","12289"
"1031246","12289"
"66717","12434"
"20999","12444"
"20999","12445"
"62423","12481"
"1173757","12481"
"20519","12543"
"25251","12543"
"64496","12543"
"72731","12543"
"21911","12572"
"1341","12780"
"65959","12780"
"65976","12780"
"120725","12780"
"239091","12780"
"1346930","12780"
"18897","13099"
"26724","13099"
"63584","13099"
"70690","13099"
"134686","13099"
"551869","13099"
"1341","13127"
"20519","13127"
"62410","13127"
"57607","13345"
"57617","13345"
"57831","13345"
"70437","13345"
"87942","13345"
"87944","13345"
"87945","13345"
"87948","13345"
"87950","13345"
"1617133","13345"
"20999","13361"
"56804","13402"
"1619","13405"
"62424","13481"
"229302","13481"
"1134505","13481"
"62424","13513"
"83624","13514"
"118745","13514"
"119454","13514"
"140481","13514"
"1109778","13514"
"57607","13688"
"74946","13688"
"74947","13688"
"109813","13688"
"545277","13688"
"583878","13688"
"1114832","13688"
"1114833","13688"
"1136392","13688"
"1173215","13688"
"12466","13807"
"20519","13807"
"25251","13807"
"26778","13807"
"63584","13807"
"64496","13807"
"66717","13807"
"72731","13807"
"1132614","13807"
"83635","13836"
"25251","14016"
"52575","14016"
"105421","14016"
"71051","14044"
"96862","14044"
"99687","14044"
"99689","14044"
"1619","14164"
"20519","14172"
"66717","14202"
"74021","14202"
"26739","14283"
"1337","14310"
"1340","14310"
"12672","14310"
"25246","14310"
"25249","14310"
"26724","14310"
"66717","14310"
"66761","14310"
"86318","14310"
"1000109","14310"
"1336","14392"
"25246","14392"
"116636","14392"
"1339","14449"
"76913","14449"
"109434","14449"
"25246","14538"
"62410","14538"
"69636","14538"
"1341","14539"
"66761","14539"
"116636","14539"
"18899","14543"
"20999","14596"
"52575","14735"
"1341","14756"
"20519","14756"
"78878","14756"
"77301","14797"
"77303","14797"
"77304","14797"
"25246","14808"
"25251","14816"
"69033","15026"
"20519","15077"
"25251","15077"
"72731","15077"
"1132614","15077"
"1619790","15077"
"21911","15136"
"57831","15136"
"77304","15136"
"110844","15136"
"118352","15136"
"130561","15136"
"1090949","15136"
"1277930","15136"
"1614091","15136"
"1337","15384"
"77304","15384"
"96862","15384"
"1031246","15384"
"62410","15724"
"62423","15724"
"134704","15724"
"1173757","15724"
"1336","15770"
"103598","15804"
"1341","15860"
"57609","15860"
"78878","15860"
"88351","15860"
"62417","15923"
"57609","15939"
"62410","15939"
"65975","16036"
"65976","16036"
"81081","16036"
"239091","16036"
"1619","16269"
"25246","16269"
"64662","16269"
"67221","16269"
"68557","16269"
"70437","16269"
"105418","16269"
"116052","16269"
"119447","16269"
"224925","16269"
"1134165","16269"
"1160575","16269"
"1339","16321"
"20652","16321"
"52575","16321"
"62410","16321"
"65974","16321"
"18897","16407"
"35452","16407"
"83358","16407"
"118745","16407"
"119454","16407"
"121394","16407"
"66717","16411"
"213438","16411"
"928166","16419"
"25246","16657"
"64895","16657"
"62410","16687"
"64662","16687"
"64496","17082"
"109434","17082"
"552084","17082"
"10885","17108"
"26724","17108"
"70437","17108"
"227782","17108"
"612216","17108"
"956575","17108"
"1624","17158"
"116636","17422"
"18897","17457"
"57831","17457"
"66717","17457"
"118350","17457"
"25251","17467"
"554120","17467"
"1134729","17467"
"1265959","17467"
"1357125","17467"
"1413335","17467"
"1415225","17467"
"1336","17653"
"56816","17653"
"62420","17653"
"82177","17653"
"82401","17653"
"974461","17653"
"1173757","17653"
"1341","17808"
"77304","17808"
"109809","17808"
"1336","17809"
"65975","17809"
"87948","17809"
"239961","17809"
"592329","17809"
"1134165","17809"
"1427540","17809"
"1336","17811"
"35452","17811"
"56816","17811"
"82177","17811"
"82401","17811"
"1173757","17811"
"20654","18031"
"72731","18060"
"118726","18060"
"140481","18060"
"1002925","18060"
"1190198","18060"
"21911","18232"
"21914","18232"
"76913","18232"
"112563","18232"
"1619","18305"
"10885","18305"
"56804","18305"
"69636","18305"
"69637","18305"
"69638","18305"
"70437","18305"
"119447","18305"
"1357077","18305"
"1337","18311"
"1338","18311"
"12672","18311"
"25245","18311"
"25246","18311"
"69637","18311"
"1337","18329"
"69637","18329"
"20640","18385"
"20655","18385"
"65986","18426"
"1339","18476"
"1336","18665"
"25245","18665"
"65934","18665"
"67222","18665"
"110844","18665"
"118355","18665"
"131728","18665"
"134704","18665"
"227804","18665"
"239961","18665"
"1346930","18665"
"1416970","18665"
"18897","18666"
"56830","18667"
"65974","18667"
"68557","18667"
"94076","18667"
"120725","18667"
"134704","18667"
"239091","18667"
"579216","18667"
"612216","18667"
"1166375","18667"
"1336","18670"
"26724","18670"
"67222","18670"
"83624","18670"
"87840","18670"
"548474","18670"
"1336","18672"
"25249","18672"
"56816","18672"
"56830","18672"
"65974","18672"
"65987","18672"
"127410","18672"
"148884","18672"
"239091","18672"
"579216","18672"
"1134946","18672"
"1336","18674"
"35452","18674"
"52908","18674"
"54615","18674"
"548045","18674"
"1407528","18674"
"20652","18704"
"18897","18707"
"25246","18707"
"26724","18707"
"26786","18707"
"62410","18707"
"62417","18707"
"62419","18707"
"62420","18707"
"62424","18707"
"65987","18707"
"83560","18707"
"84205","18707"
"88495","18707"
"116906","18707"
"134704","18707"
"239010","18707"
"1336","18725"
"35452","18725"
"44917","18725"
"52908","18725"
"70690","18725"
"83624","18725"
"83693","18725"
"120725","18725"
"130561","18725"
"1336","18731"
"64895","18731"
"67221","18731"
"83489","18731"
"94076","18731"
"227782","18731"
"240171","18731"
"990443","18731"
"1265950","18731"
"1269703","18731"
"1398251","18731"
"18897","18735"
"576408","18735"
"18897","18741"
"1173203","18741"
"20519","18747"
"25251","18747"
"56861","18747"
"65986","18747"
"72731","18747"
"124777","18747"
"1132614","18747"
"1178938","18747"
"18897","18758"
"18897","18760"
"18897","18763"
"26786","18763"
"35452","18763"
"57609","18763"
"62410","18763"
"62423","18763"
"62424","18763"
"69638","18763"
"83560","18763"
"83693","18763"
"134704","18763"
"148884","18763"
"567303","18763"
"1173757","18763"
"1338","18764"
"18897","18764"
"26729","18764"
"26739","18764"
"26775","18764"
"26785","18764"
"56811","18764"
"64662","18764"
"65986","18764"
"66122","18764"
"70591","18764"
"83560","18764"
"96546","18764"
"103602","18764"
"548474","18764"
"1134732","18764"
"18897","18767"
"25246","18767"
"56861","18767"
"62410","18767"
"134703","18767"
"584527","18767"
"62410","18812"
"62423","18812"
"118745","18812"
"119450","18812"
"1109778","18812"
"121394","18813"
"12672","18814"
"56830","18814"
"83630","18814"
"83631","18814"
"134704","18814"
"1173757","18814"
"20519","18816"
"62410","18816"
"83635","18816"
"56830","18817"
"63584","18817"
"69637","18817"
"87945","18817"
"612216","18817"
"105421","18822"
"227782","18852"
"1166375","18852"
"26775","18855"
"83686","18855"
"148884","18855"
"18897","18857"
"70690","18857"
"83689","18857"
"83693","18857"
"87944","18857"
"556938","18857"
"1346930","18857"
"25245","18860"
"26728","18860"
"56804","18860"
"57609","18860"
"62423","18860"
"65974","18860"
"67221","18860"
"134704","18860"
"579216","18860"
"18897","18867"
"1337","18877"
"21911","18877"
"20519","18899"
"25251","18899"
"62419","18899"
"66717","18899"
"105421","18899"
"26775","19156"
"84205","19156"
"240171","19156"
"18897","19267"
"18897","19274"
"239091","19274"
"69636","19464"
"1619","19503"
"56861","19503"
"65353","19503"
"67221","19503"
"67222","19503"
"70690","19503"
"83631","19503"
"83693","19503"
"87944","19503"
"105418","19503"
"116052","19503"
"548045","19503"
"1193722","19503"
"25251","19528"
"70690","19528"
"20654","19611"
"72731","19611"
"127436","19611"
"143602","19611"
"10885","19935"
"68561","19935"
"240171","20002"
"18897","20083"
"25251","20083"
"70690","20083"
"148884","20083"
"592329","20083"
"70673","20188"
"84205","20188"
"127410","20188"
"148886","20188"
"1178938","20188"
"66717","20342"
"64496","20585"
"86318","20585"
"1336","20811"
"35452","20811"
"57609","20811"
"82401","20966"
"83631","20966"
"113797","20966"
"240171","20966"
"1109778","20966"
"1134505","20966"
"1135238","20966"
"20654","21345"
"18897","21519"
"62410","21519"
"62424","21519"
"119454","21519"
"134704","21519"
"148884","21519"
"1109778","21519"
"1135238","21519"
"1338","21521"
"12672","21521"
"18897","21521"
"44922","21521"
"56804","21521"
"65987","21521"
"70690","21521"
"78877","21521"
"81081","21521"
"83358","21521"
"83630","21521"
"110844","21521"
"119454","21521"
"213438","21521"
"1109778","21521"
"1135238","21521"
"18897","21522"
"57831","21522"
"83358","21522"
"86318","21522"
"87944","21522"
"118355","21522"
"237235","21522"
"18897","21537"
"119426","21537"
"70673","21621"
"121394","21621"
"124002","21621"
"592329","21621"
"1134504","21621"
"1339","21708"
"695","21733"
"18897","21733"
"57609","21733"
"62410","21733"
"62419","21733"
"87839","21733"
"87840","21733"
"567303","21733"
"57607","21835"
"57617","21835"
"57831","21835"
"70437","21835"
"87942","21835"
"87944","21835"
"87945","21835"
"87948","21835"
"87950","21835"
"1617133","21835"
"70673","21964"
"121394","21964"
"1134505","21964"
"62410","21990"
"584527","21990"
"69033","22082"
"26775","22124"
"70673","22124"
"88351","22124"
"118745","22124"
"240169","22124"
"240171","22124"
"548610","22124"
"1109778","22124"
"1134504","22124"
"88495","22193"
"148891","22193"
"240177","22193"
"545277","22193"
"565456","22193"
"1173215","22193"
"74947","22411"
"545277","22411"
"1136808","22411"
"57831","22422"
"64496","22809"
"119450","22980"
"227782","22980"
"548610","22980"
"69033","23019"
"18897","23172"
"112563","23676"
"66717","23698"
"68562","23698"
"88495","23698"
"69033","23981"
"1338","24163"
"25245","24163"
"25246","24163"
"148886","24163"
"990778","24163"
"1160575","24163"
"1415347","24163"
"64662","24330"
"584527","24444"
"70690","24546"
"25246","24636"
"21911","24674"
"21914","24889"
"25249","24889"
"127436","24889"
"130561","24889"
"66717","24922"
"92833","24922"
"119447","24922"
"1339","24986"
"64662","24993"
"18897","25074"
"44917","25074"
"44922","25074"
"62417","25074"
"70673","25074"
"78877","25074"
"119454","25074"
"121394","25074"
"134703","25074"
"134704","25074"
"230776","25074"
"239010","25074"
"554120","25074"
"1109778","25074"
"1134504","25074"
"1173605","25074"
"1178932","25074"
"1178938","25074"
"1413335","25074"
"62410","25124"
"78878","25124"
"229302","25124"
"545277","25124"
"576408","25124"
"52575","25187"
"105421","25187"
"1338","25355"
"54615","25384"
"56830","25384"
"69637","25384"
"148891","25384"
"612216","25384"
"1134165","25384"
"1134946","25384"
"1624","25423"
"1341","25425"
"65975","25425"
"65976","25425"
"116351","25425"
"25251","25474"
"62419","25474"
"64496","25474"
"20519","25536"
"25251","25536"
"612216","25536"
"1147123","25536"
"103598","25538"
"18897","25539"
"62410","25539"
"62417","25539"
"62419","25539"
"62423","25539"
"70591","25539"
"116906","25539"
"118745","25539"
"119454","25539"
"1336","25626"
"1337","25626"
"1339","25626"
"1340","25626"
"1341","25626"
"11401","25626"
"18897","25626"
"20640","25626"
"20654","25626"
"20655","25626"
"25246","25626"
"56861","25626"
"57607","25626"
"66761","25626"
"69033","25626"
"71051","25626"
"73774","25626"
"74021","25626"
"76913","25626"
"77301","25626"
"77303","25626"
"77304","25626"
"78879","25626"
"83635","25626"
"96613","25626"
"96862","25626"
"99687","25626"
"99689","25626"
"109434","25626"
"109809","25626"
"112563","25626"
"116636","25626"
"118726","25626"
"130985","25626"
"143602","25626"
"543169","25626"
"543178","25626"
"543848","25626"
"560190","25626"
"589911","25626"
"931172","25626"
"998494","25626"
"1031246","25626"
"1076049","25626"
"1094209","25626"
"1184600","25626"
"1211897","25626"
"1287732","25626"
"1335021","25626"
"1418476","25626"
"1562576","25626"
"1624092","25626"
"1624093","25626"
"1624094","25626"
"1624095","25626"
"1624096","25626"
"1624097","25626"
"1624098","25626"
"1341","25645"
"1624","25645"
"25249","25645"
"70674","25645"
"94076","25645"
"94077","25645"
"1338","25654"
"44917","25654"
"66122","25654"
"69637","25654"
"83560","25654"
"20519","25655"
"25251","25655"
"26784","25655"
"62410","25655"
"70690","25655"
"115610","25655"
"118745","25655"
"1132614","25655"
"57609","25661"
"69636","25661"
"88351","25661"
"1109778","25661"
"1134505","25661"
"21908","25664"
"56861","25664"
"1147123","25664"
"18897","25676"
"70690","25676"
"105940","25676"
"127410","25676"
"229302","25676"
"1002925","25676"
"1211897","25676"
"118745","25772"
"77301","25838"
"1191929","25838"
"25251","26010"
"84205","26010"
"1136808","26010"
"57831","26136"
"83489","26150"
"1624","26259"
"18897","26259"
"119454","26259"
"229302","26259"
"240169","26259"
"69033","26422"
"65986","26480"
"52908","26499"
"56861","26499"
"35452","26569"
"63584","26582"
"26775","26615"
"88351","26615"
"118745","26615"
"240169","26615"
"240171","26615"
"548610","26615"
"76913","26784"
"77301","26784"
"78879","26784"
"35452","26875"
"69636","26875"
"70673","26875"
"70674","26875"
"229302","26875"
"240169","26875"
"20519","26877"
"67222","26877"
"70690","26877"
"109301","26877"
"1402734","26877"
"88495","26929"
"96613","26929"
"545277","26929"
"1031246","26929"
"10885","27060"
"21911","27060"
"56830","27060"
"20654","27062"
"96862","27062"
"1619","27073"
"20519","27073"
"66717","27073"
"96889","27073"
"1336","27578"
"26744","27761"
"65986","28039"
"69636","28039"
"124777","28039"
"229302","28039"
"66717","28366"
"63584","28578"
"20652","28772"
"21914","28772"
"25251","28772"
"130561","28772"
"148884","28772"
"224929","28772"
"1173203","28772"
"1178938","28772"
"21902","29014"
"26724","29014"
"26775","29014"
"26785","29014"
"35452","29014"
"62410","29014"
"62423","29014"
"62424","29014"
"65992","29014"
"66122","29014"
"81081","29014"
"116906","29014"
"126852","29014"
"238973","29014"
"239010","29014"
"239961","29014"
"579216","29014"
"1173757","29014"
"1338","29346"
"69033","29346"
"77301","29346"
"103598","29346"
"25246","29363"
"66717","29363"
"71051","29363"
"76913","29363"
"99687","29363"
"112563","29363"
"130985","29363"
"584527","29459"
"88351","29584"
"12466","29594"
"57831","29594"
"83624","29594"
"120419","29594"
"144860","29594"
"588138","29594"
"931172","29972"
"105421","29977"
"1002925","29977"
"1254216","30004"
"1173216","30023"
"56861","30112"
"103598","30112"
"1031246","30112"
"643","30265"
"1338","30265"
"105940","30265"
"56804","30421"
"68557","30421"
"69637","30421"
"83630","30421"
"134704","30421"
"548474","30421"
"1341","30596"
"20519","30596"
"25245","30596"
"26724","30596"
"56816","30596"
"56861","30596"
"66761","30596"
"77303","30596"
"96862","30596"
"99687","30596"
"116906","30596"
"77303","30600"
"70690","30942"
"1336","31027"
"52908","31027"
"65987","31027"
"87944","31027"
"87950","31027"
"239961","31027"
"21908","31185"
"643","31439"
"76913","31439"
"26724","31614"
"69033","31642"
"20519","31680"
"25251","31680"
"10885","32091"
"20519","32151"
"25251","32151"
"52575","32151"
"73774","32151"
"135836","32151"
"12466","32162"
"25251","32162"
"26724","32162"
"227804","32162"
"21908","32164"
"25251","32164"
"26724","32164"
"68562","32164"
"120725","32164"
"998494","32164"
"20519","32229"
"21914","32229"
"25251","32229"
"612216","32229"
"1002925","32229"
"20652","32233"
"25246","32233"
"296066","32233"
"21908","32249"
"63584","32249"
"70690","32249"
"78877","32249"
"1624","32388"
"18899","32388"
"26775","32388"
"65986","32388"
"70673","32388"
"119454","32388"
"134704","32388"
"229302","32388"
"584527","32388"
"237235","32516"
"44917","32517"
"57607","32517"
"70437","32517"
"94076","32517"
"109301","32517"
"227782","32517"
"296066","32517"
"592329","32517"
"612216","32517"
"956575","32517"
"1139220","32517"
"1178938","32517"
"1201406","32517"
"1427638","32517"
"1427641","32517"
"26775","32520"
"84205","32520"
"240169","32520"
"240171","32520"
"1134505","32520"
"1575541","32520"
"21910","32524"
"21911","32524"
"63584","32524"
"118350","32524"
"99687","32582"
"109434","32582"
"83631","32629"
"122816","32629"
"122818","32629"
"122820","32629"
"20519","32654"
"21908","32654"
"25251","32654"
"77304","32909"
"96862","32909"
"109809","32909"
"109813","32909"
"120725","32909"
"35452","32982"
"57609","32982"
"131728","32982"
"230777","32982"
"26728","33063"
"44922","33063"
"62419","33063"
"105940","33063"
"1109778","33063"
"20654","33338"
"26778","33338"
"66717","33338"
"73774","33338"
"120725","33338"
"1341","33537"
"110844","33537"
"110845","33537"
"110847","33537"
"18897","33542"
"44917","33542"
"44922","33542"
"25246","33840"
"86318","33840"
"56861","33908"
"1341","34179"
"62410","34179"
"77304","34179"
"83624","34179"
"87944","34179"
"88351","34179"
"118745","34179"
"134704","34179"
"1619","34182"
"931172","34182"
"12466","34216"
"56861","34216"
"84205","34526"
"1357125","34526"
"1339","34561"
"20654","34561"
"112563","34561"
"26726","34658"
"62410","34658"
"62423","34658"
"119454","34658"
"227782","34658"
"1065282","34658"
"1109778","34658"
"1173757","34658"
"20519","34777"
"25251","34777"
"70690","34777"
"83358","34777"
"18897","34800"
"119454","34800"
"121394","34800"
"21908","34856"
"1336","35038"
"20999","35038"
"26785","35038"
"57607","35038"
"62424","35038"
"130561","35038"
"163441","35038"
"1168410","35038"
"1174754","35038"
"70674","35102"
"21910","35117"
"25246","35117"
"70674","35117"
"72731","35117"
"77304","35117"
"83631","35117"
"956575","35117"
"994641","35117"
"1160575","35117"
"18897","35138"
"70690","35138"
"71051","35138"
"120725","35138"
"18897","35170"
"66717","35800"
"1341","35854"
"52908","35854"
"78877","35854"
"78878","35854"
"78879","35854"
"110844","35854"
"1173203","35854"
"96862","36113"
"62417","36171"
"1148003","36171"
"70690","36222"
"1134736","36244"
"65986","36261"
"69636","36261"
"124777","36261"
"229302","36261"
"240169","36261"
"1337","36266"
"56816","36273"
"62423","36276"
"120725","36276"
"148884","36276"
"21911","36348"
"26724","36348"
"66717","36348"
"83358","36348"
"88495","36348"
"103598","36348"
"105421","36348"
"118350","36348"
"1341","36586"
"63584","36640"
"69636","36640"
"10885","36669"
"18897","36682"
"35452","36682"
"62410","36682"
"1173757","36682"
"63584","36931"
"66717","36931"
"72731","36931"
"1336","37030"
"1336","37032"
"116636","37034"
"227782","37034"
"240171","37034"
"1287732","37034"
"1338","37185"
"21910","37185"
"26724","37185"
"66761","37185"
"1002925","37185"
"20999","37263"
"25245","37304"
"1341","37472"
"20519","37472"
"62410","37472"
"109434","37472"
"84205","37486"
"65975","37528"
"74947","37528"
"1136392","37528"
"1173215","37528"
"643","37557"
"18897","37588"
"62410","37588"
"12672","37702"
"21902","37702"
"29692","37702"
"57607","37702"
"65975","37702"
"65976","37702"
"87944","37702"
"94076","37702"
"110845","37702"
"118350","37702"
"118352","37702"
"118355","37702"
"956575","37702"
"1135781","37702"
"1160576","37702"
"1173605","37702"
"1398251","37702"
"1415225","37702"
"1616889","37702"
"1619922","37702"
"1619923","37702"
"643","37703"
"1624","37703"
"56811","37703"
"57607","37703"
"63584","37703"
"65934","37703"
"68563","37703"
"83630","37703"
"94076","37703"
"227782","37703"
"230777","37703"
"240171","37703"
"990443","37703"
"999460","37703"
"1134944","37703"
"1135781","37703"
"1329775","37703"
"1407528","37703"
"1575541","37703"
"1339","37711"
"83635","37844"
"96613","37844"
"998494","37844"
"1340","37848"
"10885","37848"
"26724","37848"
"118726","37848"
"96862","37849"
"87948","37850"
"118745","37850"
"1173203","37850"
"25249","37868"
"26724","37868"
"118745","37868"
"122816","37868"
"122818","37868"
"227792","37868"
"229302","37868"
"588144","37868"
"76913","37909"
"77301","37909"
"20519","37984"
"25251","37984"
"56861","37984"
"26724","38025"
"126852","38025"
"25245","38030"
"25246","38030"
